Disease,Description,Description_Telugu
Fungal infection,"A fungal infection of the skin...","చర్మంపై ఫంగల్ సంక్రమణ..."
Allergy,"Hypersensitive immune response...","అతిసున్నితమైన రోగనిరోధక ప్రతిస్పందన..."
GERD,"GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.","GERD (గాస్ట్రోఈసోఫేజియల్ రీఫ్లక్స్ రోగం) అనేది దిగువ ఈసోఫేగల్ స్ఫింక్టర్‌ను ప్రభావితం చేసే జీర్ణక్రియ సంబంధిత రుగ్మత."
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.","లివర్ నుండి బైల్డ్ ప్రవాహం తగ్గిపోయే దీర్ఘకాలిక స్థితిని క్రానిక్ కొలెస్టాసిస్ అంటారు."
Drug Reaction,"Drug Reaction occurs when the body reacts adversely to a medication.","ఔషధానికి ప్రతికూలంగా శరీరం స్పందించేటప్పుడు డ్రగ్ రియాక్షన్ సంభవిస్తుంది."
Peptic ulcer disease,"Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.","జీర్ణాశయపు లోపలి గోడపై లేదా చిన్న ఆంత్యంలో గాయాలు ఏర్పడే పరిస్థితిని పెప్టిక్ అల్సర్ అంటారు."
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.","AIDS అనేది HIV వలన కలిగే వ్యాధి, ఇది రోగనిరోధక వ్యవస్థను బలహీనపరుస్తుంది."
Diabetes,"Diabetes is a chronic condition that affects how the body processes blood sugar.","డయాబెటిస్ అనేది శరీరం రక్తంలో గ్లూకోజ్‌ను ఎలా ప్రాసెస్ చేస్తుందో ప్రభావితం చేసే దీర్ఘకాలిక పరిస్థితి."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","జీర్ణాశయం మరియు ప్రేగులకు వైరస్ లేదా బ్యాక్టీరియా కారణంగా సంభవించే రాగాలను గాస్ట్రోఎంటరైటిస్ అంటారు."
Bronchial Asthma,"Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.","బ్రాంకియల్ ఆస్తమా అనేది శ్వాసనాళాల బిగుతుగా మారే శ్వాస సంబంధిత స్థితి."
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","హైపర్‌టెన్షన్ లేదా అధిక రక్తపోటు అనేది సాధారణ గుండె సంబంధిత సమస్య."
Migraine,"Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.","మైగ్రేన్ అనేది తీవ్రతరమైన తలనొప్పి మరియు వెలుతురు, శబ్దాలపై అధిక స్పందన కలిగించే పరిస్థితి."
Cervical spondylosis,"Cervical spondylosis is a degenerative condition of the cervical spine.","సెర్వికల్ స్పోండిలోసిస్ అనేది మెడ కొసరి కీళ్ళు బలహీనపడే డిజెనరేటివ్ పరిస్థితి."
Paralysis (brain hemorrhage),"Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.","మెదడులో రక్తస్రావం వల్ల కండరాల కదలిక నష్టం కలిగే పరిస్థితిని పక్షవాతం అంటారు."
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","జాండిస్ అనేది చర్మం మరియు కళ్లకు పసుపు రంగు రావడం, ఇది సాధారణంగా కాలేయ సమస్యలకు సంకేతం."
