Disease,Diet,Diet_Telugu
Fungal infection,"Avoid sugary and yeast-containing foods like bread, alcohol; eat garlic, coconut oil, non-starchy vegetables, yogurt (with probiotics), turmeric; stay hydrated.","తీపి పదార్థాలు, బ్రెడ్, ఆల్కహాల్ వంటి ఈస్ట్ వుండే ఆహారం నివారించండి; వెల్లులి, కొబ్బరి నూనె, నాన్‌స్టార్చీ కూరగాయలు, పెరుగు (ప్రొబయోటిక్స్ తో), హల్దీ తీసుకోండి; తగిన మోతాదులో నీరు తాగండి."
Allergy,"Avoid high-histamine foods like aged cheese, smoked meats, alcohol, fermented foods; eat fresh fruits (except citrus), vegetables, whole grains, omega-3 rich foods like flaxseeds; consult a doctor.","ఏజ్డ్ చీజ్, స్మోక్ చేసిన మాంసం, ఆల్కహాల్, ఫర్మెంటెడ్ ఫుడ్స్ వంటి హిస్టామిన్ అధికంగా వున్న ఆహారం నివారించండి; తాజా పండ్లు (నారింజ类 తప్ప), కూరగాయలు, హోల్ గ్రెయిన్, ఫ్లాక్స్సీడ్ వంటి ఒమేగా-3 ఫుడ్స్ తినండి; డాక్టర్‌ని సంప్రదించండి."
GERD,"Low-Acid Diet, Fiber-rich foods, Ginger, Licorice, Aloe vera juice","తక్కువ ఆమ్లత కలిగిన ఆహారం, ఫైబర్ అధికంగా ఉన్న ఆహారం, అల్లం, యశ్టిమధు, అలోవెరా జ్యూస్"
Chronic cholestasis,"Low-Fat Diet, High-Fiber Diet, Lean proteins, Whole grains, Fresh fruits and vegetables","తక్కువ కొవ్వు ఆహారం, అధిక ఫైబర్ ఆహారం, లీన్ ప్రోటీన్లు, సంపూర్ణ ధాన్యాలు, తాజా పండ్లు మరియు కూరగాయలు"
Drug Reaction,"Antihistamine Diet, Omega-3-rich foods, Vitamin C-rich foods, Quercetin-rich foods, Probiotics","యాంటీహిస్టమైన్ ఆహారం, ఒమెగా-3 ఉన్న ఆహారం, విటమిన్ C అధికంగా ఉన్న ఆహారం, క్వెర్సెటిన్ ఉన్న ఆహారం, ప్రోబయాటిక్స్"
Peptic ulcer disease,"Low-Acid Diet, Fiber-rich foods, Ginger, Licorice, Aloe vera juice","తక్కువ ఆమ్లత ఉన్న ఆహారం, ఫైబర్ ఉన్న ఆహారం, అల్లం, యశ్టిమధు, అలోవెరా జ్యూస్"
AIDS,"Balanced Diet, Protein-rich foods, Fruits and vegetables, Whole grains, Healthy fats","సమతుల్య ఆహారం, ప్రోటీన్ అధికంగా ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, ఆరోగ్యకరమైన కొవ్వులు"
Diabetes,"Low-Glycemic Diet, Fiber-rich foods, Lean proteins, Healthy fats, Low-fat dairy","తక్కువ గ్లైసెమిక్ ఆహారం, ఫైబర్ అధికంగా ఉన్న ఆహారం, లీన్ ప్రోటీన్లు, ఆరోగ్యకరమైన కొవ్వులు, తక్కువ కొవ్వు కలిగిన డెయిరీ"
Gastroenteritis,"Bland Diet, Bananas, Rice, Applesauce, Toast","సాధారణ ఆహారం, అరటిపళ్లు, బియ్యం, ఆపిల్ ముద్ద, టోస్ట్"
Bronchial Asthma,"Anti-Inflammatory Diet, Omega-3-rich foods, Fruits and vegetables, Whole grains, Lean proteins","వాపును తగ్గించే ఆహారం, ఒమెగా-3 ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, లీన్ ప్రోటీన్లు"
Hypertension,"DASH Diet, Low-sodium foods, Fruits and vegetables, Whole grains, Lean proteins","DASH డైట్, తక్కువ ఉప్పు ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, లీన్ ప్రోటీన్లు"
Migraine,"Migraine Diet, Low-Tyramine Diet, Caffeine withdrawal, Hydration, Magnesium-rich foods","మైగ్రేన్ డైట్, తక్కువ టైరమిన్ ఆహారం, కాఫీ మానడం, తగినంత నీరు, మాగ్నీషియం అధికంగా ఉన్న ఆహారం"
Cervical spondylosis,"Arthritis Diet, Anti-Inflammatory Diet, Omega-3-rich foods, Fruits and vegetables, Whole grains","ఆర్థ్రిటిస్ డైట్, వాపును తగ్గించే ఆహారం, ఒమెగా-3 ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు"
Paralysis (brain hemorrhage),"Heart-Healthy Diet, Low-sodium foods, Fruits and vegetables, Whole grains, Lean proteins","హృదయానికి ఆరోగ్యకరమైన ఆహారం, తక్కువ ఉప్పు, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, లీన్ ప్రోటీన్లు"
