,Unnamed: 0,disease,workout,workout_Telugu
0,0,Fungal infection,Avoid sugary foods,చక్కెర పదార్థాలను నివారించండి
1,1,Fungal infection,Consume probiotics,ప్రొబయోటిక్స్ తీసుకోండి
2,2,Fungal infection,Increase intake of garlic,వెల్లుల్లి తీసుకునే పరిమాణాన్ని పెంచండి
3,3,Fungal infection,Include yogurt in diet,ఆహారంలో పెరుగు చేర్చండి
4,4,Fungal infection,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
5,5,Fungal infection,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
6,6,Fungal infection,Consume green tea,గ్రీన్ టీ త్రాగండి
7,7,Fungal infection,Eat foods rich in zinc,జింక్ అధికంగా ఉన్న ఆహారం తీసుకోండి
8,8,Fungal infection,Include turmeric in diet,ఆహారంలో పసుపు చేర్చండి
9,9,Fungal infection,Eat fruits and vegetables,పండ్లు మరియు కూరగాయలు తినండి
10,10,Allergy,Avoid allergenic foods,అలెర్జీ కలిగించే ఆహారాలను నివారించండి
11,11,Allergy,Consume anti-inflammatory foods,ఎంపికైన ఆహారాలు తీసుకోండి
12,12,Allergy,Include omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
13,13,Allergy,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
14,14,Allergy,Eat foods rich in vitamin C,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
15,15,Allergy,Include quercetin-rich foods,క్వెర్సెటిన్ ఎక్కువగా ఉన్న ఆహారం తీసుకోండి
16,16,Allergy,Consume local honey,స్థానిక తేనె తీసుకోండి
17,17,Allergy,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
18,18,Allergy,Include ginger in diet,ఆహారంలో అల్లం చేర్చండి
19,19,Allergy,Avoid artificial additives,కృత్రిమ సంకలితాలను నివారించండి
20,20,GERD,Consume smaller meals,చిన్న భోజనాలు తీసుకోండి
21,21,GERD,"Avoid trigger foods (spicy, fatty)","ప్రేరేపక ఆహారాలు (మసాలా, కొవ్వు) నివారించండి"
22,22,GERD,Eat high-fiber foods,ఫైబర్ ఎక్కువగా ఉన్న ఆహారం తినండి
23,23,GERD,Limit caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ ను పరిమితం చేయండి
24,24,GERD,Chew food thoroughly,ఆహారాన్ని బాగా నమిలి తినండి
25,25,GERD,Avoid late-night eating,రాత్రి తర్వాత తినడం నివారించండి
26,26,GERD,Consume non-citrus fruits,సిట్రస్ కాని పండ్లు తినండి
27,27,GERD,Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
28,28,GERD,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
29,29,GERD,Avoid carbonated beverages,కార్బొనేటెడ్ పానీయాలు నివారించండి
30,30,Chronic cholestasis,Consume a low-fat diet,తక్కువ కొవ్వు ఉన్న ఆహారం తినండి
31,31,Chronic cholestasis,Eat high-fiber foods,ఫైబర్ ఎక్కువగా ఉన్న ఆహారం తినండి
32,32,Chronic cholestasis,Include healthy fats,ఆరోగ్యకరమైన కొవ్వులు తీసుకోండి
33,33,Chronic cholestasis,Limit alcohol consumption,ఆల్కహాల్ తీసుకోవడం పరిమితం చేయండి
34,34,Chronic cholestasis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
